prekesId,pavadinimas,kaina,kiekis,tipas
100,Lidocaine Viscous,47.64,129,Chemija
101,Sysco,79.8,78,Elektronika
102,Sulwhasoo Lumitouch Foundation,61.12,109,Elektronika
103,PAMELOR,78.55,10,Maistas
104,up and up ibuprofen,42.18,137,Chemija
105,Vyvanse,5.69,69,Maistas
106,Rimmel London,61.97,93,Elektronika
107,OYSTER,6.26,27,Chemija
108,Bacitracin,68.4,90,Chemija
109,Oxycodone Hydrochloride,89.03,103,Chemija
110,Intralipid,17.24,107,Elektronika
111,cold relief,72.63,152,Chemija
112,Care One Hemorrhoidal,37.89,91,Elektronika
113,Doxycycline Hyclate,39.88,138,Elektronika
114,Neomycin Polymyxin B Sulfates and Dexamethasone,94.39,3,Maistas
115,SANCTURA,45.46,61,Maistas
116,Meloxicam,4.01,143,Maistas
117,Dark Spot Corrector,83.6,74,Elektronika
118,MS Contin,12.29,102,Elektronika
119,Quality Choice Nighttime Cold and Flu,1.33,31,Maistas
120,Clear Eyes Cooling Redness Relief,6.99,57,Maistas
121,Promethazine Hydrochloride and Codeine Phosphate,23.36,147,Chemija
122,Apis Gelsemium,39.74,22,Elektronika
123,good neighbor pharmacy night time,67.59,65,Maistas
124,CALMING,56.84,68,Maistas
125,Albuterol Sulfate,54.53,111,Maistas
126,SILVER SULFADIAZINE,23.77,105,Elektronika
127,AHC Complex Choice EGF Booster,46.64,93,Elektronika
128,soCALM Pain Relieving,19.06,126,Maistas
129,Meijer Cold Sore Treatment,45.21,117,Elektronika
130,Artificial Tears,74.07,43,Maistas
131,Rapamune,64.41,66,Elektronika
132,soCALM Pain Relieving,48.64,21,Elektronika
133,Lady Speed Stick,83.28,123,Chemija
134,California Live Oak,87.41,74,Maistas
135,Ondansetron Hydrochloride,8.85,139,Elektronika
136,ELF Clarifying Pressed,74.57,160,Elektronika
137,HEMORRHOIDS RELIEF,21.33,157,Chemija
138,Oxybutynin Chloride,92.05,56,Chemija
139,ZOFRAN,96.7,115,Maistas
140,Mefloquine Hydrochloride,83.21,29,Maistas
141,Fusarium oxysporum,84.21,107,Elektronika
142,Tartar Control Plus,36.86,158,Chemija
143,Irritable BowelCare,64.49,78,Chemija
144,"Dust, House Mixture",37.29,130,Elektronika
145,Safeway,50.84,140,Maistas
146,IDOLE CARROT,20.34,151,Elektronika
147,Plak Smacker,86.31,135,Elektronika
148,Rescue Remedy,34.64,59,Elektronika
149,Short Ragweed Pollen,27.41,69,Chemija
150,Lidocaine Hydrochloride,39.82,117,Chemija
151,Aurum Lavender Rose,72.48,99,Chemija
152,Femring,82.48,43,Maistas
153,HYDROCODONE BITARTRATE AND ACETAMINOPHEN,43.34,31,Maistas
154,GAP Favorite Lip Balm,55.44,47,Chemija
155,Cinnabar Dandelion,20.57,76,Elektronika
156,pain and fever,89.64,88,Chemija
157,Sinuforce,81.51,155,Chemija
158,Benzoyl Peroxide,77.16,46,Maistas
159,topcare lice treatment,41.28,90,Elektronika
160,Oxygen,4.0,127,Elektronika
161,Flavoxate Hydrochloride,18.57,34,Chemija
162,Signifor,39.97,37,Maistas
163,ENALAPRIL MALEATE,82.73,16,Chemija
164,Testim,54.52,78,Elektronika
165,NATURCOKSINUM FLU RELIEF,7.38,154,Maistas
166,Secret Outlast Invisible,39.1,7,Maistas
167,Advantage Weight Loss and Hunger Control,66.65,155,Elektronika
168,Yellow Pine Pollen,34.1,111,Chemija
169,Proctofoam,87.21,45,Elektronika
170,Good Sense anti diarrheal,73.28,141,Chemija
171,FIRST Dukes Mouthwash Compounding,84.95,132,Chemija
172,CC SPF 18,98.86,14,Chemija
173,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Cool Beige,31.3,137,Chemija
174,CVS Pharmacy Instant Hand Sanitizer With Aloe And Vitamin E,32.1,157,Chemija
175,Lisinopril,14.97,102,Chemija
176,Johnsons Baby Pure Cornstarch Medicated,25.61,159,Maistas
177,ADVAIR HFA,41.15,148,Maistas
178,Treatment Set TS339992,40.65,109,Chemija
179,White Poplar,16.43,113,Chemija
180,Acnecycline,62.6,38,Chemija
181,Desoximetasone,67.79,133,Chemija
182,Transderm Scop,87.94,54,Elektronika
183,Pyrilamine Maleate and Phenylephrine Hydrochloride,44.72,126,Maistas
184,Sodium Chloride,21.3,100,Maistas
185,Ban,25.35,41,Maistas
186,FELODIPINE,22.99,96,Chemija
187,Terragen HG Treatment,82.08,79,Elektronika
188,Promethazine hydrochloride,20.0,63,Chemija
189,OREGANO,4.64,55,Maistas
190,stop smoking aid,76.71,39,Elektronika
191,Ash Mixture,92.42,60,Elektronika
192,Chinese Elm,68.45,66,Elektronika
193,Benicar,36.33,150,Elektronika
194,hemorrhoidal,80.21,49,Elektronika
195,NUTRALOX,19.76,57,Maistas
196,DG BODY,73.63,121,Maistas
197,citroma,70.68,57,Elektronika
198,Female Tonic,82.83,131,Elektronika
199,Sinus Congestion and Pain Severe,93.03,147,Maistas
200,Bio Chicory,86.21,102,Chemija
201,Assured Instant Hand Sanitizer with Moisturizers Vitamin E and Aloe,2.39,143,Elektronika
202,No7 Protect and Perfect Foundation Sunscreen Broad Spectrum SPF 15 Wheat,94.16,51,Chemija
203,Risperidone,58.8,132,Elektronika
204,VISCO SHIELD,86.69,118,Elektronika
205,Meloxicam,2.95,119,Elektronika
206,Remedy Zinc Skin Protectant,42.17,71,Elektronika
207,"Pollens - Grasses, Johnson Grass Sorghum halepense",72.05,83,Elektronika
208,Azithromycin,74.53,20,Chemija
209,Oxycodone Hydrochloride,91.0,93,Chemija
210,AMOXICILLIN,24.01,113,Maistas
211,Divalproex Sodium,73.18,79,Maistas
212,Sunmark Nose,70.09,84,Chemija
213,Umecta Mousse,84.35,125,Elektronika
214,Sulfamethoxazole and Trimethoprim,63.66,114,Maistas
215,neobryxol Neb,89.18,23,Elektronika
216,Head and Shoulders,53.19,121,Maistas
217,Magnesia Phos Kit Refill,96.25,145,Elektronika
218,Dr G Whitening FORTIFIER by EGF,98.33,99,Elektronika
219,NYLOXIN,45.63,140,Elektronika
220,Pomegranate Antibacterial Foaming Hand Wash,5.09,27,Maistas
221,KAO-TIN PEPPERMINT FLAVOR,86.34,33,Maistas
222,Allspice,20.93,152,Elektronika
223,Softlips Peach Mango,5.96,102,Chemija
224,Renewal Anti-Wrinkle,29.78,82,Chemija
225,LACURA,3.78,46,Elektronika
226,Medi-Clean Antiseptic Hand Cleaner,48.42,160,Elektronika
227,Jason Pure Natural Sun Sport Natural Sunscreen Broad Spectrum SPF45,37.83,27,Maistas
228,Head and Shoulders,80.86,44,Chemija
229,7 select allergy,23.62,104,Elektronika
230,Vichy Laboratoire,57.13,117,Elektronika
231,GAMMAGARD,28.32,100,Chemija
232,Lidocaine Hydrochloride,30.18,1,Maistas
233,Evista,71.72,105,Elektronika
234,Cefadroxil,28.19,51,Chemija
235,Berkley and Jensen Pain Relief,42.52,89,Maistas
236,Kiehls Since 1851 Activated Sun Protector For Body Broad Spectrum SPF 50 Sunscreen,84.18,29,Maistas
237,BencoCaine Topical Anesthetic,89.84,90,Chemija
238,Lamotrigine,24.04,133,Maistas
239,PediaCare Childrens,47.83,20,Elektronika
240,Warfarin Sodium,96.95,129,Chemija
241,Quetiapine fumarate,63.66,99,Chemija
242,Lorazepam,65.5,22,Maistas
243,Adult Low Strength Aspirin,55.43,77,Elektronika
244,Neutrogena,40.23,25,Maistas
245,Heparin Sodium,29.19,99,Maistas
246,ADDICLENZ,53.64,28,Elektronika
247,USTILAGO TRITICI,85.36,18,Maistas
248,Prochlorperazine Maleate,70.19,101,Maistas
249,Jantoven,55.45,140,Maistas
250,BANDAGE,23.08,35,Elektronika
251,Equaline pain relief,9.19,85,Maistas
252,Fallback Solo,1.07,31,Elektronika
253,CHENOPODIUM AMBROSIOIDES POLLEN,88.89,72,Chemija
254,Quack Grass,12.74,63,Maistas
255,Day Time Cold and Flu Relief,6.37,57,Elektronika
256,Glycopyrrolate,42.37,135,Chemija
257,Cipro HC,44.02,107,Maistas
258,Thuja Occidentalis,18.48,56,Maistas
259,Montelukast Sodium,41.41,147,Chemija
260,Voltaren,52.18,4,Elektronika
261,Puncture Wounds Bites,19.75,28,Maistas
262,Nitroglycerin Slocaps,22.96,41,Elektronika
263,Maybelline New York,22.53,10,Maistas
264,NITETIME,14.0,92,Chemija
265,Dexamethasone Sodium Phosphate,80.63,26,Maistas
266,Omnitrope,90.64,17,Chemija
267,CENTER-AL - ZEA MAYS POLLEN,60.11,98,Elektronika
268,Lisinopril,88.79,140,Chemija
269,Match Perfection SPF 18,9.18,44,Elektronika
270,ENALAPRIL MALEATE,75.88,81,Elektronika
271,ULTRA CORRECTION LINE REPAIR,82.72,74,Chemija
272,Lidocaine,78.99,121,Chemija
273,Levico Prunus,87.27,82,Chemija
274,Divalproex Sodium,38.0,142,Maistas
275,Levothyroxine Sodium,99.5,55,Chemija
276,EXALGO,36.05,28,Elektronika
277,Levothyroxine Sodium,28.19,99,Chemija
278,ck one all day perfection face makeup,66.8,24,Maistas
279,Arth Arrest,23.74,69,Maistas
280,Acetaminophen,14.09,4,Elektronika
281,"Bioelements, Inc.",12.25,87,Elektronika
282,"Pollens - Weeds and Garden Plants, Sagebrush, Mugwort Artemisia vulgaris",3.65,14,Chemija
283,Minocycline hydrochloride,5.96,29,Chemija
284,Pancreas Meteoric Iron Special Order,3.88,37,Maistas
285,Glyburide and Metformin,17.5,32,Maistas
286,Oxygen,50.97,77,Elektronika
287,Venlafaxine Hydrochloride,57.18,26,Maistas
288,LEVOXYL,43.18,129,Maistas
289,medroxyprogesterone acetate,58.6,81,Elektronika
290,Proactiv Solution Extra Strength Formula Toner Acne Treatment,40.49,6,Chemija
291,Phentermine Hydrochloride,69.22,105,Elektronika
292,Losartan Potassium,46.14,37,Elektronika
293,naproxen sodium,49.34,41,Maistas
294,Chinese Elm,93.62,37,Chemija
295,equaline daytime severe cold and flu relief,81.27,144,Elektronika
296,Rizatriptan Benzoate,77.51,47,Elektronika
297,infants pain relief,97.91,145,Chemija
298,Propafenone HCl,57.94,146,Maistas
299,Chaetomium globosum,22.24,30,Chemija
300,Ondansetron,99.11,78,Chemija
301,Nitrofurantoin,45.96,67,Elektronika
302,Metalogin,99.82,77,Elektronika
303,Paroxetine Hydrochloride,28.1,158,Elektronika
304,Cefprozil,22.53,149,Maistas
305,Clindamycin Hydrochloride,38.2,139,Maistas
306,BETULA LENTA POLLEN,9.62,21,Maistas
307,Losartan Potassium,65.94,62,Chemija
308,Nifedipine,74.75,3,Chemija
309,Astragalus e rad. 1%,38.29,9,Elektronika
310,good sense cough dm,96.02,64,Elektronika
311,Cesium Chloride,50.77,11,Elektronika
312,Enpresse,17.46,138,Elektronika
313,CELTIS OCCIDENTALIS POLLEN,26.38,7,Elektronika
314,"Molds, Rusts and Smuts, Hormodendrum cladosporioides",86.0,100,Elektronika
315,Diclofenac Sodium and Misoprostol,97.0,62,Elektronika
316,Oxygen,62.86,144,Chemija
317,acetaminophen,21.4,74,Maistas
318,Kaletra,21.95,14,Elektronika
319,IsonaRif,45.13,57,Maistas
320,IOPE SUPER VITAL EXTRA MOIST B.B,99.65,153,Elektronika
321,METOPROLOL TARTRATE,34.31,54,Elektronika
322,dg health milk of magnesia,75.15,63,Chemija
323,Hydroxychloroquine sulfate,84.09,44,Elektronika
324,Benztropine Mesylate,30.16,101,Maistas
325,Antibacterial Hand - Ocean Fresh Scent,95.85,30,Maistas
326,Lombard Poplar Pollen,89.66,157,Chemija
327,Assured CREAMY PETROLEUM JELLY VITAMIN E ENRICHED,92.89,75,Maistas
328,Eve Lom Radiance Perfected Tinted Moisturiser Broad Spectrum SPF 15 Sunscreen,76.28,138,Elektronika
329,JANUVIA,3.46,152,Chemija
330,Disney PLANES FIRE and RESCUE ANTIBACTERIAL HAND WIPES,82.58,101,Maistas
331,BSS,29.85,17,Elektronika
332,Rifampin,86.96,99,Maistas
333,Sticky Baby Dust,44.63,46,Elektronika
334,good sense pain relief,45.99,46,Chemija
335,MUCINEX,52.29,74,Elektronika
336,Rx Act Hemorrhoidal,50.79,136,Maistas
337,"Smut, Corn",46.0,55,Chemija
338,sunmark Mucus er,39.12,127,Chemija
339,Propranolol Hydrochloride,23.68,4,Chemija
340,Dandruff,61.77,68,Chemija
341,Verapamil Hydrochloride,89.64,59,Chemija
342,MEDIQUE I-PRIN,49.58,23,Chemija
343,Purell Advanced Hand Sanitizer Tranquil Sunset,46.96,75,Chemija
344,XtraCare Anti-Dandruff Hair Cleanse,20.67,57,Maistas
345,Allergy Multi-Symptom,26.47,63,Chemija
346,FUCOIDAN HAIR TONIC,69.52,17,Chemija
347,enema,47.23,14,Elektronika
348,Cefepime,68.75,60,Elektronika
349,Orange Pekoe Tea,84.2,87,Elektronika
350,benzonatate,38.73,56,Maistas
351,Bupropion HydrochlorideXL,35.07,28,Maistas
352,LYSOL Healthy Touch,45.22,95,Chemija
353,Melissa Chamomilla,55.33,118,Elektronika
354,CD CAPTURE TOTALE Triple Correcting Serum Foundation Wrinkles-Dark Spots-Radiance with sunscreen Broad Spectrum SPF 25 030,10.57,95,Elektronika
355,Bupropion Hydrochloride,13.71,85,Elektronika
356,O HUI WHITE EXTREME CELLIGHT,19.78,4,Maistas
357,Degree Men,99.53,135,Chemija
358,THE YEON STYLE Y LONG WEAR PERFECT FIT BB,25.84,144,Elektronika
359,Alka-Seltzer Plus Fast Packs Cold and Flu Formula,36.87,15,Elektronika
360,Homeopathic Facial Redness Formula,68.07,105,Elektronika
361,acid reducer,91.33,51,Chemija
362,Alcohol-Free Anticavity,14.97,37,Chemija
363,Xanax,14.8,114,Elektronika
364,Zafirlukast,39.78,141,Chemija
365,cold relief,39.78,95,Maistas
366,LANEIGE SATIN FINISH TWIN PACT NO. 21,11.43,76,Elektronika
367,Sodium Chloride,63.24,48,Elektronika
368,Para Grass Pollen,50.3,95,Chemija
369,Pineapple,33.23,57,Chemija
370,complete,37.45,134,Chemija
371,Quinapril,14.18,76,Maistas
372,sildenafil,2.13,72,Chemija
373,Ibuprofen,88.7,43,Maistas
374,Refresh Tears Lubricant,99.21,41,Elektronika
375,Sertraline,47.62,157,Elektronika
376,Motion Sickness,89.0,16,Elektronika
377,HAWAIIAN TROPIC,26.28,98,Maistas
378,Estradiol,59.81,153,Chemija
379,RENEWAL,13.25,11,Elektronika
380,Aurum Crataegus Nausea Relief,21.19,156,Elektronika
381,SENSAI TRIPLE TOUCH COMPACT TC02,17.56,92,Maistas
382,Cysview,86.24,118,Elektronika
383,Theophylline,10.61,17,Maistas
384,ULTRASOL,41.74,119,Chemija
385,Olanzapine,97.06,142,Chemija
386,Glytone acne cleansing toner,22.34,118,Chemija
387,Good Neighbor Pharmacy Antacid,53.3,140,Chemija
388,Tiger Balm,53.51,119,Maistas
389,Natrum muriaticum,62.76,27,Chemija
390,PASPALUM NOTATUM POLLEN,23.24,78,Elektronika
391,PAXIL,51.5,47,Chemija
392,SHISEIDO RADIANT LIFTING FOUNDATION,86.83,100,Maistas
393,NoDoz,6.95,133,Elektronika
394,Neomycin Sulfate,21.85,18,Maistas
395,TopCare Omeprazole,48.32,140,Elektronika
396,Topcare Nite Time,26.96,122,Elektronika
397,Fanapt,45.83,157,Chemija
398,Naproxen Sodium,54.51,30,Maistas
399,Isopropyl Alcohol,68.0,30,Elektronika
400,Fexofenadine Hydrochloride,76.18,66,Maistas
401,Diltiazem Hydrochloride,19.55,151,Elektronika
402,Pantoprazole Sodium,91.73,86,Elektronika
403,Mint and Aloe Antibacterial Foaming Hand Wash,31.4,4,Chemija
404,Dextroamphetamine Sulfate,47.45,85,Chemija
405,SHISEIDO SUN PROTECTION FOUNDATION,23.77,59,Elektronika
406,Levemir,94.05,110,Chemija
407,Loratadine,98.17,14,Elektronika
408,Liver Tonic,44.65,39,Chemija
409,IXEMPRA,51.31,29,Maistas
410,Face and Body Sunscreen,86.23,22,Maistas
411,Dextrose and Sodium Chloride,63.59,149,Chemija
412,Liver Detox,77.73,117,Maistas
413,Next Choice,59.56,10,Chemija
414,Folic Acid,48.7,87,Maistas
415,Lyrica,1.66,149,Elektronika
416,Nesina,42.99,94,Chemija
417,Rimmel London,59.21,137,Maistas
418,Echinacea Quartz Gum Support,23.96,62,Maistas
419,Amitriptyline Hydrochloride,96.72,36,Chemija
420,Ondansetron Hydrochloride,9.0,116,Chemija
421,Inflammation OTC,55.24,23,Maistas
422,VENLAFAXINE HYDROCHLORIDE,11.37,131,Chemija
423,Clear,71.75,78,Chemija
424,tizanidine hydrochloride,24.48,115,Elektronika
425,severe sinus congestion,77.11,90,Chemija
426,PediaCare Childrens Cough and Congestion,34.95,124,Maistas
427,Cortisporin-TC,3.11,119,Elektronika
428,CareOne Miconazole 3,9.2,143,Elektronika
429,FormuCare Allergy Relief,29.39,11,Maistas
430,ChapIce Medicated Balm,2.84,40,Maistas
431,Creamy Diaper Rash,49.26,89,Elektronika
432,quetiapine fumarate,18.5,41,Elektronika
433,Irbesartan and Hydrochlorothiazide,22.03,66,Maistas
434,Erythrocin Stearate,81.3,117,Chemija
435,Ciprofloxacin,52.77,47,Maistas
436,Amiodarone hydrochloride,87.08,156,Elektronika
437,Flucytosine,36.42,82,Chemija
438,Lisinopril,29.3,59,Elektronika
439,Pyrogenium Kit Refill,60.81,127,Elektronika
440,Trazodone Hydrochloride,64.04,130,Maistas
441,EPICOCCUM NIGRUM,91.6,39,Elektronika
442,Frankincense and Myrrh Sciatica,71.39,10,Maistas
443,Antispetic,88.3,28,Elektronika
444,Bupropion Hydrochloride,71.0,44,Chemija
445,DENBLAN,55.43,12,Elektronika
446,ECHINACEA ANGUSTIFOLIA,62.07,87,Elektronika
447,Coppertone Wet n Clear,91.0,138,Elektronika
448,ACCURETIC,64.16,152,Chemija
449,Dove,61.71,5,Maistas
450,Leeks,52.07,4,Maistas
451,CLINIMIX,70.56,44,Maistas
452,MENTAL ALERTNESS SUPPORT,21.17,94,Maistas
453,Simvastatin,24.07,150,Chemija
454,Pioglitazone,14.73,113,Maistas
455,Hydroxyzine Hydrochloride,52.88,123,Elektronika
456,leader childrens pain reliever,45.71,131,Maistas
457,ATORVASTATIN CALCIUM,4.55,149,Maistas
458,WELLBUTRIN XL,49.66,145,Chemija
459,ESIKA,48.34,66,Elektronika
460,NORETHINDRONE,17.46,108,Maistas
461,Bupropion Hydrochloride,53.9,141,Maistas
462,Tetracaine,59.06,138,Elektronika
463,The Natural Dentist,40.35,145,Elektronika
464,SOLIDAGO CANADENSIS POLLEN,15.58,54,Maistas
465,Baclofen,17.85,133,Chemija
466,Acetylcysteine,25.91,2,Maistas
467,HYDROMORPHONE HYDROCHLORIDE,9.1,86,Elektronika
468,Oxygen-Nitrogen Mixture,21.21,84,Maistas
469,OXYGEN,49.45,20,Maistas
470,Pravastatin Sodium,75.03,23,Elektronika
471,Silky Smooth Anti-Perspirant Deodorant Invisible Solid,39.66,150,Maistas
472,benzonatate,86.64,149,Elektronika
473,Alprazolam,5.03,90,Elektronika
474,GUNA-HEMORRHOIDS,25.84,71,Elektronika
475,Clotrimazole,61.61,32,Maistas
476,Prunus spinosa e summ. 30 Special Order,39.08,16,Elektronika
477,BEING WELL BODY,97.63,124,Maistas
478,Pleo Ex,43.97,102,Maistas
479,lubricant and redness reliever,9.37,63,Chemija
480,doxepin hydrochloride,36.09,95,Chemija
481,Shao Lin Gao Pain Relieving Plaster,41.41,68,Chemija
482,Sumaxin CP,86.1,145,Elektronika
483,Ascorbic Acid,28.87,76,Maistas
484,Arnica Scorodite,62.86,61,Chemija
485,THE YEON CMK PORE BLEMISH BC,68.99,117,Maistas
486,Childrens Mucinex Multi-Symptom Cold,18.24,117,Elektronika
487,Mulberry,27.23,160,Maistas
488,Azithromycin,17.55,148,Maistas
489,mucus relief,97.47,127,Maistas
490,Amoxicillin and Clavulanate Potassium,59.74,109,Chemija
491,Clean and Refreshing Body Wash,4.68,121,Chemija
492,Up and UP Anticavity Toothpaste Whitening Plus Mouthwash,5.19,125,Chemija
493,Potassium Chloride,47.81,53,Elektronika
494,Tinted Moisturizer SPF20,68.96,122,Maistas
495,Dimenhydrinate,40.12,43,Elektronika
496,Valsartan and Hydrochlorothiazide,14.27,26,Elektronika
497,Diovan,18.34,138,Chemija
498,Bisoprolol Fumarate,7.34,122,Chemija
499,Hand Kleen Foaming Antibacterial Hand,85.19,23,Chemija
500,ANTIBACTERIAL FOAMING,29.85,49,Elektronika
501,SHISEIDO THE MAKEUP SHEER MATIFYING COMPACT (REFILL),63.52,39,Chemija
502,Amoxicillin and Clavulanate Potassium,90.65,99,Chemija
503,smart sense ranitidine,42.59,127,Chemija
504,healthy accents naproxen sodium,29.51,78,Elektronika
505,FEM Remedy,29.76,10,Elektronika
506,Clobetasol Propionate,25.67,109,Elektronika
507,Artalgia,68.12,45,Chemija
508,Levetiracetam,57.47,65,Elektronika
509,Ergocalciferol,9.05,106,Elektronika
510,Duloxetine hydrochloride,44.75,98,Maistas
511,Sulfamethoxazole and Trimethoprim,21.19,113,Elektronika
512,Meclizine Hydrochloride,23.12,68,Maistas
513,Atenolol,34.84,146,Maistas
514,Clearasil Ultra,66.51,69,Chemija
515,chest congestion,11.43,38,Chemija
516,Gaviscon,97.03,51,Chemija
517,INVOKANA,97.12,56,Maistas
518,Lice Treatment,9.41,5,Elektronika
519,Head Congestion Daytime and Nighttime Cold,31.7,34,Elektronika
520,good neighbor pharmacy pain relief,50.18,51,Elektronika
521,Exchange Select Sunscreen,27.8,151,Chemija
522,Low Dose Aspirin,78.83,143,Chemija
523,CEENU,35.6,126,Elektronika
524,Salt Grass,97.12,59,Chemija
525,Methyldopa,89.07,41,Maistas
526,Mend19 Wound Care,66.75,42,Elektronika
527,ChloraPrep One-Step,3.44,4,Chemija
528,Instant Hand Sanitizer - Cocoa Butter,12.62,95,Maistas
529,BIOSOLIS Sun Milk UVA Sunscreen Face and Body Broad Spectrum SPF30,21.12,71,Chemija
530,Steady Remedy No. 14,98.02,62,Maistas
531,citalopram hydrobromide,29.64,78,Maistas
532,Oxybutynin Chloride,70.59,54,Maistas
533,Hydroxyzine Hydrochloride,99.29,103,Maistas
534,FAGUS GRANDIFOLIA POLLEN,81.1,14,Maistas
535,BUSPIRONE HYDROCHLORIDE,26.75,141,Maistas
536,Benazepril Hydrochloride,9.16,61,Maistas
537,Carbidopa and Levodopa,56.34,136,Elektronika
538,LBEL COULEUR LUXE AMPLIFIER XP,33.21,32,Elektronika
539,Nembutal Sodium,20.72,114,Elektronika
540,Relief,79.19,136,Elektronika
541,Aspirin,22.28,32,Elektronika
542,flormar Foundation Sunscreen Broad Spectrum SPF 20 LF01 PORCELAIN,37.51,15,Chemija
